CustomerKey,GeographyKey,CustomerAlternateKey,fullname,gender,EmailAddress,EnglishOccupation,DateFirstPurchase,City,EnglishCountryRegionName
11072,17,AW00011072,Casey   Luo,Female,casey6@adventure-works.com,Skilled Manual,2011-03-31,St. Leonards,Australia
11073,16,AW00011073,Amy   Ye,Female,amy16@adventure-works.com,Skilled Manual,2013-03-23,Springwood,Australia
11074,28,AW00011074,Levi A. Arun,Male,levi6@adventure-works.com,Skilled Manual,2013-03-23,Cloverdale,Australia
11075,32,AW00011075,Felicia L. Jimenez,Female,felicia4@adventure-works.com,Professional,2011-04-28,Bendigo,Australia
11076,19,AW00011076,Blake   Anderson,Male,blake9@adventure-works.com,Professional,2011-04-21,Wollongong,Australia
11077,36,AW00011077,Leah   Ye,Female,leah7@adventure-works.com,Professional,2011-04-15,Melton,Australia
11078,49,AW00011078,Gina E. Martin,Female,gina1@adventure-works.com,Professional,2013-02-15,Cliffside,Canada
11079,34,AW00011079,Donald   Gonzalez,Male,donald20@adventure-works.com,Management,2013-03-15,Geelong,Australia
11080,30,AW00011080,Damien   Chander,Male,damien32@adventure-works.com,Management,2011-04-10,Perth,Australia
11081,311,AW00011081,Savannah C. Baker,Female,savannah39@adventure-works.com,Management,2013-02-12,Concord,United States
11082,322,AW00011082,Angela L. Butler,Female,angela17@adventure-works.com,Management,2013-01-22,Fremont,United States
11083,336,AW00011083,Alyssa F. Cox,Female,alyssa37@adventure-works.com,Management,2013-01-06,Lincoln Acres,United States
11084,543,AW00011084,Lucas   Phillips,Male,lucas7@adventure-works.com,Skilled Manual,2013-01-04,Lebanon,United States
11085,345,AW00011085,Emily   Johnson,Female,emily1@adventure-works.com,Professional,2013-12-06,Newport Beach,United States
11086,369,AW00011086,Ryan   Brown,Male,ryan43@adventure-works.com,Professional,2013-07-02,Santa Monica,United States
11087,307,AW00011087,Tamara L. Liang,Female,tamara6@adventure-works.com,Professional,2013-02-25,Chula Vista,United States
11088,359,AW00011088,Hunter   Davis,Male,hunter64@adventure-works.com,Management,2013-01-13,San Diego,United States
11089,337,AW00011089,Abigail M. Price,Female,abigail25@adventure-works.com,Management,2012-12-29,Long Beach,United States
11090,338,AW00011090,Trevor   Bryant,Male,trevor18@adventure-works.com,Professional,2011-08-07,Los Angeles,United States
11091,50,AW00011091,Dalton   Perez,Male,dalton37@adventure-works.com,Professional,2013-01-29,Haney,Canada
11092,22,AW00011092,Cheryl A. Diaz,Female,cheryl4@adventure-works.com,Professional,2011-04-08,East Brisbane,Australia
11093,19,AW00011093,Aimee A. He,Female,aimee13@adventure-works.com,Management,2011-04-07,Wollongong,Australia
11094,33,AW00011094,Cedric W. Ma,Male,cedric15@adventure-works.com,Skilled Manual,2013-04-07,Cranbourne,Australia
11095,13,AW00011095,Chad   Kumar,Male,chad9@adventure-works.com,Skilled Manual,2011-04-01,Port Macquarie,Australia
11096,12,AW00011096,Andrés   Anand,Male,andrés18@adventure-works.com,Professional,2011-04-11,North Sydney,Australia
11097,40,AW00011097,Edwin R. Nara,Male,edwin39@adventure-works.com,Skilled Manual,2011-04-04,Warrnambool,Australia
11098,14,AW00011098,Mallory S. Rubio,Female,mallory7@adventure-works.com,Skilled Manual,2013-02-11,Rhodes,Australia
11099,13,AW00011099,Adam   Ross,Male,adam2@adventure-works.com,Professional,2011-04-07,Port Macquarie,Australia
11100,28,AW00011100,Latasha L. Navarro,Female,latasha10@adventure-works.com,Skilled Manual,2011-04-16,Cloverdale,Australia
11101,33,AW00011101,Abby L. Sai,Female,abby4@adventure-works.com,Professional,2011-04-29,Cranbourne,Australia
11102,18,AW00011102,Julia L. Nelson,Female,julia7@adventure-works.com,Professional,2013-07-16,Sydney,Australia
11103,3,AW00011103,Cassie   Chande,Female,cassie13@adventure-works.com,Professional,2011-04-15,Darlinghurst,Australia
11104,23,AW00011104,Edgar A. Sara,Male,edgar11@adventure-works.com,Professional,2011-05-04,Gold Coast,Australia
11105,8,AW00011105,Candace   Fernandez,Female,candace15@adventure-works.com,Professional,2011-05-14,Matraville,Australia
11106,40,AW00011106,Jessie   Liu,Male,jessie9@adventure-works.com,Professional,2011-05-18,Warrnambool,Australia
11107,17,AW00011107,Bianca   Lin,Female,bianca7@adventure-works.com,Professional,2011-05-01,St. Leonards,Australia
11108,13,AW00011108,Kari C. Alvarez,Female,kari25@adventure-works.com,Professional,2011-05-03,Port Macquarie,Australia
11109,38,AW00011109,Ruben D. Kapoor,Male,ruben1@adventure-works.com,Professional,2011-05-10,South Melbourne,Australia
11110,3,AW00011110,Curtis   Yang,Male,curtis5@adventure-works.com,Skilled Manual,2011-05-01,Darlinghurst,Australia
11111,34,AW00011111,Meredith T. Gutierrez,Female,meredith34@adventure-works.com,Skilled Manual,2011-05-20,Geelong,Australia
11112,25,AW00011112,Crystal C. Wang,Female,crystal3@adventure-works.com,Skilled Manual,2011-05-25,Hervey Bay,Australia
11113,30,AW00011113,Micheal A. Blanco,Male,micheal11@adventure-works.com,Professional,2013-02-01,Perth,Australia
11114,14,AW00011114,Leslie C. Moreno,Female,leslie7@adventure-works.com,Skilled Manual,2013-03-18,Rhodes,Australia
11115,17,AW00011115,Alvin D. Cai,Male,alvin20@adventure-works.com,Skilled Manual,2013-02-10,St. Leonards,Australia
11116,18,AW00011116,Clinton E. Carlson,Male,clinton14@adventure-works.com,Skilled Manual,2013-03-15,Sydney,Australia
11117,8,AW00011117,April   Deng,Female,april1@adventure-works.com,Skilled Manual,2011-05-06,Matraville,Australia
11118,6,AW00011118,Alvin M. Zeng,Male,alvin21@adventure-works.com,Skilled Manual,2013-07-10,Lavender Bay,Australia
11119,13,AW00011119,Evan V. James,Male,evan8@adventure-works.com,Clerical,2013-02-03,Port Macquarie,Australia
11120,18,AW00011120,Beth H. Jiménez,Female,beth8@adventure-works.com,Management,2011-05-14,Sydney,Australia
11121,10,AW00011121,Orlando   Suarez,Male,orlando19@adventure-works.com,Skilled Manual,2013-06-24,Newcastle,Australia
11122,12,AW00011122,Byron   Vazquez,Male,byron9@adventure-works.com,Skilled Manual,2013-02-21,North Sydney,Australia
11123,39,AW00011123,Philip A. Alvarez,Male,philip4@adventure-works.com,Skilled Manual,2013-04-17,Sunbury,Australia
11124,40,AW00011124,Ross F. Jordan,Male,ross1@adventure-works.com,Skilled Manual,2011-05-05,Warrnambool,Australia
11125,37,AW00011125,Dana J. Navarro,Female,dana2@adventure-works.com,Skilled Manual,2013-01-31,Seaford,Australia
11126,11,AW00011126,Shaun   Carson,Male,shaun16@adventure-works.com,Skilled Manual,2011-05-28,North Ryde,Australia
11127,361,AW00011127,Jan   Edwards,Female,jan11@adventure-works.com,Skilled Manual,2013-04-10,San Gabriel,United States
11128,635,AW00011128,Samantha   Long,Female,samantha35@adventure-works.com,Skilled Manual,2013-06-19,Renton,United States
11129,638,AW00011129,Julia M. Wright,Female,julia17@adventure-works.com,Skilled Manual,2011-08-06,Sedro Woolley,United States
11130,543,AW00011130,Caroline L. Russell,Female,caroline21@adventure-works.com,Skilled Manual,2013-12-09,Lebanon,United States
11131,50,AW00011131,Amanda   Rivera,Female,amanda7@adventure-works.com,Skilled Manual,2013-10-18,Haney,Canada
11132,51,AW00011132,Melissa E. Richardson,Female,melissa31@adventure-works.com,Skilled Manual,2013-04-09,Langford,Canada
11133,542,AW00011133,Angela   Griffin,Female,angela23@adventure-works.com,Clerical,2013-12-30,Lake Oswego,United States
11134,30,AW00011134,Larry D. Townsend,Male,larry14@adventure-works.com,Skilled Manual,2011-05-03,Perth,Australia
11135,302,AW00011135,Marcus L. Harris,Male,marcus14@adventure-works.com,Clerical,2013-04-18,Burlingame,United States
11136,53,AW00011136,Brianna D. Morgan,Female,brianna30@adventure-works.com,Skilled Manual,2013-01-03,Metchosin,Canada
11137,641,AW00011137,Jasmine A. Taylor,Female,jasmine7@adventure-works.com,Skilled Manual,2013-07-31,Spokane,United States
11138,325,AW00011138,Lauren   Davis,Female,lauren23@adventure-works.com,Skilled Manual,2013-09-19,Glendale,United States
11139,28,AW00011139,Tanya   Moreno,Female,tanya2@adventure-works.com,Clerical,2013-09-14,Cloverdale,Australia
11140,301,AW00011140,Javier L. Alvarez,Male,javier1@adventure-works.com,Clerical,2013-03-19,Burbank,United States
11141,314,AW00011141,Nicole   Ramirez,Female,nicole42@adventure-works.com,Skilled Manual,2013-05-16,Daly City,United States
11142,51,AW00011142,Eduardo   Patterson,Male,eduardo55@adventure-works.com,Skilled Manual,2013-02-13,Langford,Canada
11143,334,AW00011143,Jonathan M. Henderson,Male,jonathan4@adventure-works.com,Skilled Manual,2013-06-15,Lakewood,United States
11144,607,AW00011144,Edward   Hernandez,Male,edward48@adventure-works.com,Skilled Manual,2013-01-25,Ballard,United States
11145,536,AW00011145,Jasmine L. Coleman,Female,jasmine46@adventure-works.com,Skilled Manual,2013-01-25,Beaverton,United States
11146,8,AW00011146,Karla L. Goel,Female,karla20@adventure-works.com,Management,2013-02-05,Matraville,Australia
11147,40,AW00011147,Ernest L. Wu,Male,ernest6@adventure-works.com,Management,2011-05-13,Warrnambool,Australia
11148,22,AW00011148,Ross   Vazquez,Male,ross32@adventure-works.com,Management,2013-03-07,East Brisbane,Australia
11149,25,AW00011149,Theodore   Gill,Male,theodore14@adventure-works.com,Management,2013-06-04,Hervey Bay,Australia
11150,39,AW00011150,Russell M. Shen,Male,russell6@adventure-works.com,Management,2013-03-27,Sunbury,Australia
11151,18,AW00011151,Melinda G. Gill,Female,melinda9@adventure-works.com,Management,2011-05-15,Sydney,Australia
11152,633,AW00011152,James J. Williams,Male,james77@adventure-works.com,Skilled Manual,2013-01-09,Puyallup,United States
11153,635,AW00011153,Angela R. James,Female,angela34@adventure-works.com,Skilled Manual,2013-03-29,Renton,United States
11154,553,AW00011154,Megan G. Walker,Female,megan25@adventure-works.com,Skilled Manual,2013-01-10,Woodburn,United States
11155,301,AW00011155,Hunter J. Robinson,Male,hunter50@adventure-works.com,Skilled Manual,2013-01-06,Burbank,United States
11156,334,AW00011156,Maria   Roberts,Female,maria47@adventure-works.com,Skilled Manual,2013-01-08,Lakewood,United States
11157,642,AW00011157,Hannah E. Long,Female,hannah32@adventure-works.com,Skilled Manual,2013-07-24,Tacoma,United States
11158,361,AW00011158,Jason K. Wright,Male,jason46@adventure-works.com,Skilled Manual,2013-01-19,San Gabriel,United States
11159,385,AW00011159,Brianna A. Hughes,Female,brianna57@adventure-works.com,Skilled Manual,2013-09-08,Woodland Hills,United States
11160,311,AW00011160,Maurice M. Tang,Male,maurice4@adventure-works.com,Skilled Manual,2013-02-21,Concord,United States
11161,311,AW00011161,Emily   Wood,Female,emily27@adventure-works.com,Skilled Manual,2013-06-01,Concord,United States
11162,331,AW00011162,Chase   Cox,Male,chase10@adventure-works.com,Skilled Manual,2013-02-18,La Jolla,United States
11163,372,AW00011163,Gabriel   Wang,Male,gabriel21@adventure-works.com,Skilled Manual,2013-05-01,Spring Valley,United States
11164,374,AW00011164,Devin   Brooks,Male,devin63@adventure-works.com,Skilled Manual,2013-04-27,Torrance,United States
11165,348,AW00011165,Jocelyn   Alexander,Female,jocelyn18@adventure-works.com,Skilled Manual,2013-05-25,Oakland,United States
11166,631,AW00011166,Ashley   Martinez,Female,ashley18@adventure-works.com,Skilled Manual,2013-10-14,Olympia,United States
11167,618,AW00011167,Jasmine J. Barnes,Female,jasmine43@adventure-works.com,Management,2013-01-07,Issaquah,United States
11168,348,AW00011168,David   Rodriguez,Male,david83@adventure-works.com,Management,2013-01-15,Oakland,United States
11169,312,AW00011169,Bryce   Richardson,Male,bryce8@adventure-works.com,Management,2013-05-26,Coronado,United States
11170,612,AW00011170,Carol T. Howard,Female,carol5@adventure-works.com,Management,2013-08-26,Burien,United States
11171,385,AW00011171,Jonathan E. Hill,Male,jonathan43@adventure-works.com,Management,2011-08-20,Woodland Hills,United States
11172,626,AW00011172,Gabrielle J. Adams,Female,gabrielle58@adventure-works.com,Management,2013-05-03,Lynnwood,United States
11173,552,AW00011173,Sarah F. Thomas,Female,sarah13@adventure-works.com,Management,2013-03-02,W. Linn,United States
11174,338,AW00011174,Nicholas   Robinson,Male,nicholas19@adventure-works.com,Management,2013-07-13,Los Angeles,United States
11175,300,AW00011175,Luis   Wang,Male,luis24@adventure-works.com,Skilled Manual,2011-08-28,Beverly Hills,United States
11176,50,AW00011176,Mason D. Roberts,Male,mason25@adventure-works.com,Management,2013-02-02,Haney,Canada
11177,359,AW00011177,Jose M. Flores,Male,jose6@adventure-works.com,Management,2013-03-29,San Diego,United States
11178,334,AW00011178,Nathan J. Johnson,Male,nathan55@adventure-works.com,Management,2013-02-21,Lakewood,United States
11179,300,AW00011179,Molly E. Rodriguez,Female,molly18@adventure-works.com,Management,2013-03-12,Beverly Hills,United States
11180,307,AW00011180,April   Anand,Female,april18@adventure-works.com,Management,2013-03-17,Chula Vista,United States
11181,338,AW00011181,Devin P. Martin,Male,devin13@adventure-works.com,Management,2013-05-07,Los Angeles,United States
11182,638,AW00011182,Stephanie   Torres,Female,stephanie19@adventure-works.com,Management,2013-08-28,Sedro Woolley,United States
11183,368,AW00011183,Jasmine W. Lee,Female,jasmine19@adventure-works.com,Management,2013-04-30,Santa Cruz,United States
11184,311,AW00011184,Meghan   Hernandez,Female,meghan3@adventure-works.com,Management,2013-08-10,Concord,United States
11185,53,AW00011185,Ashley   Henderson,Female,ashley31@adventure-works.com,Management,2013-02-21,Metchosin,Canada
11186,352,AW00011186,Sarah C. Price,Female,sarah25@adventure-works.com,Management,2013-10-18,Palo Alto,United States
11187,612,AW00011187,Jennifer S. Cooper,Female,jennifer63@adventure-works.com,Management,2013-04-03,Burien,United States
11188,361,AW00011188,Catherine   Morris,Female,catherine16@adventure-works.com,Management,2013-11-01,San Gabriel,United States
11189,609,AW00011189,Lawrence W. Blanco,Male,lawrence14@adventure-works.com,Management,2011-08-26,Bellingham,United States
11190,300,AW00011190,Carson   Bryant,Male,carson17@adventure-works.com,Management,2013-08-28,Beverly Hills,United States
11191,310,AW00011191,Kristi E. Perez,Female,kristi39@adventure-works.com,Management,2011-08-11,Colma,United States
11192,637,AW00011192,James C. Brown,Male,james79@adventure-works.com,Management,2013-06-23,Seattle,United States
11193,553,AW00011193,Ian A. Gray,Male,ian72@adventure-works.com,Management,2013-02-25,Woodburn,United States
11194,352,AW00011194,Jacqueline R. Price,Female,jacqueline0@adventure-works.com,Management,2013-03-13,Palo Alto,United States
11195,635,AW00011195,Megan   Henderson,Female,megan55@adventure-works.com,Management,2013-04-14,Renton,United States
11196,536,AW00011196,Alfredo   Romero,Male,alfredo10@adventure-works.com,Management,2013-03-03,Beaverton,United States
11197,637,AW00011197,Andrea   Morris,Female,andrea18@adventure-works.com,Management,2013-05-02,Seattle,United States
11198,368,AW00011198,Brooke   Sanders,Female,brooke3@adventure-works.com,Management,2013-02-05,Santa Cruz,United States
11199,302,AW00011199,Jacqueline   Bennett,Female,jacqueline1@adventure-works.com,Management,2013-03-18,Burlingame,United States
11200,69,AW00011200,Jason L. Griffin,Male,jason18@adventure-works.com,Management,2013-02-07,Victoria,Canada
11201,369,AW00011201,Amanda   Foster,Female,amanda37@adventure-works.com,Management,2013-07-01,Santa Monica,United States
11202,334,AW00011202,Alexia L. Price,Female,alexia0@adventure-works.com,Management,2013-09-15,Lakewood,United States
11203,60,AW00011203,Luis D. Diaz,Male,luis21@adventure-works.com,Professional,2013-02-20,Port Hammond,Canada
11204,536,AW00011204,Destiny C. Rivera,Female,destiny33@adventure-works.com,Professional,2013-08-09,Beaverton,United States
11205,612,AW00011205,Abby   Fernandez,Female,abby13@adventure-works.com,Professional,2013-07-27,Burien,United States
11206,626,AW00011206,Blake   Flores,Male,blake60@adventure-works.com,Professional,2013-05-11,Lynnwood,United States
11207,635,AW00011207,Danielle   Cox,Female,danielle12@adventure-works.com,Professional,2013-01-31,Renton,United States
11208,325,AW00011208,Maria   Reed,Female,maria4@adventure-works.com,Management,2013-03-04,Glendale,United States
11209,336,AW00011209,Allison   Evans,Female,allison21@adventure-works.com,Management,2013-03-25,Lincoln Acres,United States
11210,383,AW00011210,Edward J. Wood,Male,edward50@adventure-works.com,Professional,2013-05-06,West Covina,United States
11211,50,AW00011211,Samantha   Russell,Female,samantha42@adventure-works.com,Professional,2013-02-01,Haney,Canada
11212,53,AW00011212,Chloe   Campbell,Female,chloe4@adventure-works.com,Professional,2013-01-30,Metchosin,Canada
11213,614,AW00011213,Stephanie B. Murphy,Female,stephanie11@adventure-works.com,Professional,2013-03-28,Edmonds,United States
11214,545,AW00011214,Charles O. Miller,Male,charles9@adventure-works.com,Professional,2013-08-14,Milwaukie,United States
11215,62,AW00011215,Ana   Perry,Female,ana7@adventure-works.com,Skilled Manual,2013-02-15,Royal Oak,Canada
11216,547,AW00011216,Jasmine A. Torres,Female,jasmine32@adventure-works.com,Professional,2011-08-15,Portland,United States
11217,547,AW00011217,Natalie P. Adams,Female,natalie58@adventure-works.com,Professional,2011-08-10,Portland,United States
11218,642,AW00011218,Olivia   Brown,Female,olivia4@adventure-works.com,Professional,2013-02-28,Tacoma,United States
11219,553,AW00011219,Charles   Cook,Male,charles69@adventure-works.com,Professional,2013-10-29,Woodburn,United States
11220,310,AW00011220,Erica C. Huang,Female,erica5@adventure-works.com,Professional,2013-03-14,Colma,United States
11221,334,AW00011221,Nathan   Perry,Male,nathan3@adventure-works.com,Professional,2013-04-07,Lakewood,United States
11222,369,AW00011222,Alexandra   Rivera,Female,alexandra11@adventure-works.com,Management,2013-11-01,Santa Monica,United States
11223,52,AW00011223,Hailey I. Patterson,Female,hailey30@adventure-works.com,Professional,2013-01-29,Langley,Canada
11224,612,AW00011224,Tiffany J. Li,Female,tiffany3@adventure-works.com,Professional,2011-08-07,Burien,United States
11225,635,AW00011225,Madison D. Lee,Female,madison22@adventure-works.com,Professional,2013-06-22,Renton,United States
11226,552,AW00011226,Sydney T. Ross,Female,sydney26@adventure-works.com,Professional,2013-02-21,W. Linn,United States
11227,310,AW00011227,Marshall D. Chavez,Male,marshall35@adventure-works.com,Professional,2011-08-03,Colma,United States
11228,316,AW00011228,Ashley R. Jones,Female,ashley3@adventure-works.com,Professional,2013-10-25,El Cajon,United States
11229,355,AW00011229,Adrian C. Stewart,Male,adrian21@adventure-works.com,Professional,2013-07-27,Redwood City,United States
11230,369,AW00011230,Amber   Turner,Female,amber4@adventure-works.com,Professional,2013-07-16,Santa Monica,United States
11231,611,AW00011231,Dennis   Zhang,Male,dennis1@adventure-works.com,Professional,2013-02-10,Bremerton,United States
11232,616,AW00011232,Hailey R. Bryant,Female,hailey38@adventure-works.com,Professional,2013-09-20,Everett,United States
11233,299,AW00011233,Todd   Li,Male,todd5@adventure-works.com,Professional,2013-02-08,Berkeley,United States
11234,337,AW00011234,Anna   Griffin,Female,anna46@adventure-works.com,Professional,2013-02-08,Long Beach,United States
11235,607,AW00011235,Angel J. Stewart,Male,angel24@adventure-works.com,Professional,2013-07-04,Ballard,United States
11236,609,AW00011236,Jeremy   Butler,Male,jeremy29@adventure-works.com,Professional,2013-10-03,Bellingham,United States
